city,year,month,temperature_mean,pressure_mean,wind_speed_mean,dew_point_mean,humidity_mean
Wuwei,2024,1,-4.7465053763440865,1028.531989247312,5.451612903225806,-17.77258064516129,39.159946236559136
Wuwei,2024,2,-3.8448275862068964,1026.8112068965518,6.380459770114943,-14.089224137931035,50.30890804597701
Wuwei,2024,3,5.114381720430107,1017.144758064516,8.091666666666667,-11.210887096774194,35.87768817204301
Wuwei,2024,4,12.769722222222223,1011.6474999999999,8.612083333333333,-4.604722222222223,35.42916666666667
Wuwei,2024,5,20.35483870967742,1008.6194892473119,8.969220430107528,-0.5143817204301075,29.518817204301076
Wuwei,2024,6,22.060277777777777,1005.9244444444444,7.891111111111112,6.101805555555556,39.96388888888889
Wuwei,2024,7,23.481586021505375,1002.728629032258,6.630645161290323,11.61263440860215,51.704301075268816
Wuwei,2024,8,22.857258064516127,1006.6243279569892,7.96505376344086,10.826209677419355,51.19758064516129
Wuwei,2024,9,16.51888888888889,1014.5988888888888,6.666805555555556,10.703888888888889,71.10555555555555
Wuwei,2024,10,10.708333333333334,1018.8069892473119,6.934005376344086,0.27809139784946235,52.719086021505376
Wuwei,2024,11,3.0863888888888886,1025.7481944444444,4.949583333333333,-7.165972222222222,50.608333333333334
Wuwei,2024,12,-7.212903225806451,1033.005376344086,3.3123655913978496,-15.611155913978495,54.458333333333336
Wuwei,2025,1,-4.771102150537634,1029.5782258064517,3.348521505376344,-17.01706989247312,41.39247311827957
Wuwei,2025,2,-3.136607142857143,1027.546875,4.3238095238095235,-18.006845238095238,34.802083333333336
Wuwei,2025,3,2.647983870967742,1022.8604838709676,6.200537634408602,-14.201612903225806,34.29704301075269
Wuwei,2025,4,12.007222222222223,1014.7236111111112,8.744027777777777,-8.702083333333333,27.054166666666667
Wuwei,2025,5,17.574193548387097,1009.9254032258065,8.735752688172042,-2.9333333333333336,30.022849462365592
Wuwei,2025,6,21.79652777777778,1006.2679166666667,6.969444444444444,3.8555555555555556,38.576388888888886
Wuwei,2025,7,24.429032258064517,1002.9108870967741,6.55752688172043,12.42782258064516,51.28225806451613
Wuwei,2025,8,22.026747311827958,1007.4038978494624,5.789381720430108,10.98252688172043,55.44892473118279
Wuwei,2025,9,18.15763888888889,1012.34625,5.846805555555555,6.016666666666667,51.141666666666666
Wuwei,2025,10,8.943548387096774,1021.3350806451614,4.864650537634409,1.5413978494623655,64.31182795698925
Wuwei,2025,11,2.04625,1027.1704166666666,4.837638888888889,-10.182222222222222,44.540277777777774
Wuwei,2025,12,-3.2629032258064514,1026.48561827957,3.960483870967742,-14.281854838709679,46.946236559139784
Zhangye,2024,1,-4.925,1028.4024193548387,7.523118279569892,-18.426209677419354,37.80107526881721
Zhangye,2024,2,-4.283477011494253,1026.9127873563218,8.204454022988505,-15.516235632183907,46.89655172413793
Zhangye,2024,3,4.608467741935484,1017.4889784946237,8.508467741935483,-11.928897849462366,35.37231182795699
Zhangye,2024,4,12.354305555555555,1011.94875,8.675694444444444,-7.034722222222222,30.456944444444446
Zhangye,2024,5,20.8130376344086,1008.2153225806451,11.002956989247311,-1.3190860215053763,28.006720430107528
Zhangye,2024,6,22.18236111111111,1005.9073611111112,9.981527777777778,5.644444444444445,39.55833333333333
Zhangye,2024,7,23.68548387096774,1002.4108870967741,9.140725806451613,11.372177419354838,50.36827956989247
Zhangye,2024,8,22.986290322580643,1006.1489247311829,9.365322580645161,9.985618279569893,49.06586021505376
Zhangye,2024,9,17.022222222222222,1013.9397222222221,8.090833333333332,8.863055555555555,62.452777777777776
Zhangye,2024,10,10.875537634408602,1018.3747311827958,8.143145161290322,-1.7913978494623655,46.04704301075269
Zhangye,2024,11,2.6222222222222222,1026.0627777777777,6.507638888888889,-8.887222222222222,46.290277777777774
Zhangye,2024,12,-8.306586021505376,1033.7295698924731,6.061827956989247,-16.5619623655914,55.06720430107527
