city,model,MSE,RMSE,r2
Jiuquan,Linear Regression,5.374048426161021,2.3181993930982343,0.8540770362040679
Jiuquan,SGD Regressor,23.772094604642,4.8756635040414755,0.3545100033970724
Wuwei,Linear Regression,3.28120673180752,1.8114101500785293,0.9328335917118383
Wuwei,SGD Regressor,7.618537791709078,2.760169884573969,0.844048284152204
Zhangye,Linear Regression,4.927010645823571,2.219687060336112,0.8951913299453165
Zhangye,SGD Regressor,15.02810737187636,3.8766102940425107,0.6803181360242287
